,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M4E, East Toronto, The Beaches,43.67635739999999,-79.2930312,0,Trail,Health Food Store,Other Great Outdoors,Pub,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop
1,M4K, East Toronto," The Danforth West,  Riverdale",43.6795571,-79.352188,0,Greek Restaurant,Coffee Shop,Ice Cream Shop,Italian Restaurant,Furniture / Home Store,Liquor Store,Indian Restaurant,Spa,Juice Bar,Brewery
2,M4L, East Toronto," The Beaches West,  India Bazaar",43.6689985,-79.31557159999998,0,Ice Cream Shop,Burrito Place,Steakhouse,Italian Restaurant,Brewery,Fish & Chips Shop,Fast Food Restaurant,Movie Theater,Pub,Sandwich Place
3,M4M, East Toronto, Studio District,43.6595255,-79.340923,0,Café,Coffee Shop,Italian Restaurant,American Restaurant,Bakery,Clothing Store,Diner,Middle Eastern Restaurant,Cheese Shop,Park
4,M4N, Central Toronto, Lawrence Park,43.7280205,-79.3887901,1,Park,Swim School,Bus Line,Women's Store,Diner,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant
5,M4P, Central Toronto, Davisville North,43.7127511,-79.3901975,0,Pizza Place,Gym,Park,Breakfast Spot,Convenience Store,Clothing Store,Sandwich Place,Food & Drink Shop,Hotel,Women's Store
6,M4R, Central Toronto, North Toronto West,43.7153834,-79.40567840000001,0,Coffee Shop,Sporting Goods Shop,Clothing Store,Gift Shop,Mexican Restaurant,Diner,Dessert Shop,Park,Chinese Restaurant,Rental Car Location
7,M4S, Central Toronto, Davisville,43.7043244,-79.3887901,0,Dessert Shop,Sandwich Place,Italian Restaurant,Gym,Coffee Shop,Sushi Restaurant,Thai Restaurant,Pizza Place,Café,Farmers Market
8,M4T, Central Toronto," Moore Park,  Summerhill East",43.6895743,-79.38315990000001,3,Playground,Restaurant,Gym,Airport,Colombian Restaurant,Farmers Market,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store
9,M4V, Central Toronto," Deer Park,  Forest Hill SE,  Rathnelly,  South Hill,  Summerhill West",43.68641229999999,-79.4000493,0,Pub,Coffee Shop,Pizza Place,Liquor Store,Sports Bar,Supermarket,Sushi Restaurant,Restaurant,Bagel Shop,Fried Chicken Joint
